id , name,type,ordering_attribute,ordering_type
330,I miti musica,1,788,1
331,Guitar Rock,1,788,1
332,Wide Awake,1,788,1
339,Armada Trance,1,788,1
318,Think Global,1,788,1
2364,Ringfest,8,788,1
347,I Love Disco 80's,1,788,1
3247,Death Ray NZ Music Month Live Music,6,788,1
342,Goths' Paradise: The Black Book Compilation,1,788,1
352,Castlefest,1,788,1
343,Cantara: Neo Classic & Beautiful Voices,1,788,1
348,Best of the 80's,1,788,1
353,Godfathers of German Gothic,1,788,1
350,Strange Love,1,788,1
354,Gothic Rock Around the World,1,788,1
355,ATB The DJ: In the Mix,1,788,1
356,Sunset Beach DJ Session,1,788,1
358,Yello Remaster Series,2,788,1
359,Game Music Bundle 2,2,788,1
361,"Carl Nielsen, kompositioner",5,788,1
364,Ministry of Sound: The Annual,1,788,2
363,Humble Bundle,2,788,1
365,Ministry of Sound: The Sessions,1,788,2
366,Viva Dance,1,788,1
367,Viva Hits,1,788,1
368,Machineries of Joy,1,788,1
369,Dependence: Next Level Electronics,1,788,1
370,Castle Party,1,788,1
371,Fetenhits,1,788,1
372,Finest of Hard Rock,1,788,1
2590,GCS,1,788,1
373,Sea of Silence,1,788,1
2747,Working on a Dream Tour,7,788,2
357,Relax,1,788,1
377,Pop & Wave,1,788,1
991,Global Underground: Electric Calm,1,788,1
981,Studio Brussel: De Maxx,1,788,1
992,Hard Dance Mania,1,788,1
1007,Köchelverzeichnis,5,788,1
993,The Voice Kesähitti,1,788,1
1000,Jazz & Blues Collection,1,788,1
994,Niels Gade's Opus,5,788,1
995,Josef Rheinberger's Opus,5,788,1
1001,Kneipenhits,1,788,1
3257,Retro Game Music Bundle,2,788,1
997,Top 40 Hitdossier,1,788,1
1009,Radio 538 Dance Classics,1,788,1
1002,Kontor: Maximum Trance,1,788,1
1003,"Masada, Book Two: The Book of Angels",1,788,1
1018,The Chamber Music of Malcolm Arnold,1,788,1
1004,Guido Belcanto en het magische Decaporgel,3,788,1
1010,Jean Langlais' Opus,5,788,1
1005,Mayday Compilation,1,788,1
1011,Organ Dreams,1,788,1
1019,So Fresh,1,788,1
1029,Cello Sonatas,1,788,1
1030,Piano Sonatas,1,788,1
1031,History of Dance,1,788,1
1032,Undiscovered Ibiza,1,788,1
1033,Trance Energy,1,788,1
1034,Trance: The Ultimate Collection,1,788,1
1035,Tønder Festival,1,788,1
1036,Trance 100,1,788,1
985,Future Sounds of Jazz,1,788,1
1037,This Is Terror,1,788,1
1038,Best Alternative,1,788,1
1062,Kampftrinker Stimmungshits,1,788,1
1039,Alternative Times,1,788,1
1040,Virtually Alternative,1,788,1
1079,Pittsburgh's Favorite Oldies: At the Hop,1,788,1
1041,The Very Best of Razormaid!,1,788,1
1063,Rockfile,1,788,1
1042,Strictly the Best,1,788,1
1043,Best of Hardcore,1,788,1
1044,Best Audiophile Voices,1,788,1
1064,Neurostyle,1,788,1
1045,25 Oldies Best,1,788,1
1046,25 Rolling Oldies,1,788,1
1088,Goa Trance,1,788,1
1047,Best-Loved Classics,1,788,1
1065,Keyboard Music,1,788,1
1048,"Best of 12"" Gold",1,788,1
1049,Best of Blend Rock' n' Roll Collection,1,788,1
